RAh,RAm,RAs,DE-,DEd,DEm,DEs,PosErr,z,e_z,source,Rmag,e_Rmag
,,,,,,,arcsec,---,---,---,mag,mag
09,16,03.277,+,29,53,13.47,0.5,0.526665,0.000042,DEIMOS 2011A,22.118,0.013
09,16,03.357,+,29,50,03.96,0.5,0.530034,0.000140,DEIMOS 2011A,21.041,0.006
09,16,03.460,+,29,49,33.60,0.5,0.534407,0.000072,DEIMOS 2011A,21.597,0.009
09,16,03.584,+,29,50,35.01,0.5,0.353228,0.000023,DEIMOS 2011A,22.153,0.014
09,16,03.607,+,29,49,15.53,0.5,0.186240,0.000029,DEIMOS 2011A,23.163,0.039
09,16,03.609,+,29,51,24.93,0.5,0.532913,0.000026,DEIMOS 2011A,20.831,0.005
09,16,03.706,+,29,50,18.90,0.5,0.506381,0.000024,DEIMOS 2011A,20.798,0.005
09,16,03.860,+,29,53,50.94,0.5,0.528480,0.000107,DEIMOS 2011A,22.887,0.025
09,16,03.968,+,29,52,18.68,0.5,0.527946,0.000044,DEIMOS 2011A,20.448,0.004
09,16,04.016,+,29,53,47.88,0.5,0.674979,0.000026,DEIMOS 2011A,22.489,0.019
09,16,04.068,+,29,51,37.96,0.5,0.529270,0.000071,DEIMOS 2011A,21.554,0.010
09,16,04.076,+,29,54,00.29,0.5,0.527439,0.000017,DEIMOS 2012B,23.137,0.031
09,16,04.095,+,29,50,53.69,0.5,0.527401,0.000013,DEIMOS 2011A,21.982,0.012
09,16,04.205,+,29,52,02.13,0.5,0.525185,0.000038,DEIMOS 2011A,20.740,0.006
09,16,04.254,+,29,50,33.92,0.5,0.541423,0.000257,DEIMOS 2011A,22.173,0.015
09,16,04.387,+,29,50,56.83,0.5,0.535691,NULL,DEIMOS 2011A,23.365,0.035
09,16,04.418,+,29,51,16.95,0.5,0.531467,0.000004,DEIMOS 2011A,21.627,0.008
09,16,04.456,+,29,54,05.63,0.5,0.365186,0.000017,DEIMOS 2011A,21.551,0.008
09,16,04.492,+,29,51,01.38,0.5,0.593666,0.000081,DEIMOS 2011A,20.541,0.004
09,16,04.556,+,29,53,03.66,0.5,0.527125,0.000054,DEIMOS 2011A,20.353,0.004
09,16,04.615,+,29,52,57.31,0.5,0.665582,0.000022,DEIMOS 2011A,21.433,0.009
09,16,04.654,+,29,55,32.24,0.5,0.527252,0.000017,DEIMOS 2012B,21.567,0.012
09,16,04.679,+,29,46,53.52,0.5,0.729323,0.000012,DEIMOS 2011A,22.296,0.020
09,16,04.726,+,29,48,52.43,0.5,0.535005,0.000036,DEIMOS 2011A,21.494,0.009
09,16,04.848,+,29,47,34.76,1.27,0.184299,0.000017,DEIMOS 2011A,NULL,NULL
09,16,04.861,+,29,46,04.72,0.5,0.186016,0.000002,DEIMOS 2011A,20.958,0.005
09,16,04.929,+,29,48,30.74,0.5,0.185781,0.000019,DEIMOS 2011A,22.432,0.018
09,16,04.973,+,29,52,11.01,0.5,0.529481,0.000095,DEIMOS 2011A,20.465,0.005
09,16,04.973,+,29,52,11.01,0.5,0.537100,NULL,LRIS 2007,20.465,0.005
09,16,05.165,+,29,52,00.48,0.5,0.804920,0.000107,DEIMOS 2011A,21.467,0.010
09,16,05.165,+,29,52,00.48,0.5,0.525487,0.000066,DEIMOS 2011A,21.467,0.010
09,16,05.282,+,29,47,19.38,0.5,0.674100,0.000107,DEIMOS 2011A,21.354,0.008
09,16,05.282,+,29,47,19.38,0.5,0.537612,0.000016,DEIMOS 2011A,21.354,0.008
09,16,05.517,+,29,52,06.42,0.5,0.528064,0.000006,DEIMOS 2011A,22.358,0.015
09,16,05.528,+,29,50,41.09,0.5,0.807047,0.000107,DEIMOS 2011A,22.474,0.017
09,16,05.646,+,29,51,57.59,0.5,0.607968,0.000006,DEIMOS 2011A,21.388,0.008
09,16,05.701,+,29,47,45.56,0.5,0.536430,0.000039,DEIMOS 2011A,22.386,0.017
09,16,05.704,+,29,52,48.60,0.5,0.527048,0.000059,DEIMOS 2011A,20.433,0.004
09,16,05.712,+,29,52,06.66,0.5,0.526043,0.000025,DEIMOS 2011A,21.377,0.008
09,16,05.765,+,29,55,26.15,0.5,0.527093,0.000051,DEIMOS 2011A,21.383,0.009
09,16,05.920,+,29,48,39.81,0.5,0.535288,0.000063,DEIMOS 2011A,21.657,0.010
09,16,05.950,+,29,50,01.05,0.5,0.537644,0.000038,DEIMOS 2011A,20.777,0.007
09,16,05.978,+,29,54,42.86,0.5,0.527192,0.000045,DEIMOS 2011A,22.273,0.018
09,16,06.008,+,29,53,22.14,0.5,0.529980,0.000107,DEIMOS 2011A,23.236,0.042
09,16,06.045,+,29,46,41.22,0.5,0.887711,0.000006,DEIMOS 2011A,22.577,0.018
09,16,06.205,+,29,53,15.34,0.5,0.528201,0.000012,DEIMOS 2012B,22.955,0.024
09,16,06.285,+,29,53,20.87,0.5,0.526016,0.000052,DEIMOS 2011A,22.143,0.012
09,16,06.308,+,29,46,30.87,0.5,0.186657,0.000007,DEIMOS 2011A,22.070,0.014
09,16,06.325,+,29,50,54.96,0.5,0.184911,0.000004,DEIMOS 2011A,19.534,0.001
09,16,06.455,+,29,54,20.18,0.5,0.528444,0.000089,DEIMOS 2012B,23.031,0.026
09,16,06.498,+,29,49,20.50,0.5,0.462779,0.000008,DEIMOS 2011A,22.235,0.014
09,16,06.553,+,29,55,07.13,0.5,0.500851,0.000010,DEIMOS 2012B,22.173,0.017
